year,2020,2030,2040,2050,2060,2070,2080,2090,2100
Countrynumber,135,135,135,135,135,135,135,135,135
Countryname,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand
annual electricity consumption in TWh,26.05,37.91,50.95,64.67,78.84,90.08,99.66,106.14,109.86
Hour_3814 in MW,"3,430.97","4,892.29","6,961.30","8,843.71","10,781.90",,"12,991.71","14,392.26","14,897.80"
Hour_3815 in MW,"3,110.78","4,438.70","6,342.42","8,061.34","9,828.07",,"11,841.39","13,129.20","13,590.37"
Hour_3816 in MW,"2,860.30","4,078.12","5,857.17","7,445.18","9,076.87",,"10,914.18","12,135.79","12,562.07"
Hour_3817 in MW,"2,690.14","3,828.50","5,525.35","7,021.42","8,560.24",,"10,263.20","11,456.05","11,858.45"
Hour_3818 in MW,"2,569.57","3,651.40","5,292.68","6,723.75","8,197.33",,"9,801.95","10,983.77","11,369.59"
Hour_3819 in MW,"2,525.45","3,585.88","5,206.22","6,611.91","8,060.98",,"9,633.16","10,816.94","11,196.89"
Hour_3820 in MW,"2,567.50","3,646.09","5,282.69","6,707.15","8,177.09",,"9,794.03","10,990.35","11,376.40"
Hour_3821 in MW,"2,775.57","3,817.70","5,504.38","6,987.00","8,518.28",,"10,590.01","11,467.07","11,869.86"
Hour_3822 in MW,"2,940.84","4,061.59","5,823.62","7,391.00","9,010.82",,"11,222.26","12,147.79","12,574.49"
Hour_3823 in MW,"3,122.52","4,323.85","6,174.73","7,835.80","9,553.09",,"11,917.29","12,895.63","13,348.60"
Hour_3824 in MW,"3,286.07","4,549.45","6,490.14","8,235.66","10,040.59",,"12,542.97","13,569.82","14,046.47"
Hour_3825 in MW,"3,404.30","4,695.92","6,716.67","8,523.08","10,391.01",,"12,995.26","14,059.48","14,553.33"
Hour_3826 in MW,"3,463.50","4,743.55","6,827.50","8,664.06","10,562.88",,"13,221.73","14,308.73","14,811.33"
Hour_3827 in MW,"3,465.91","4,699.31","6,827.00","8,664.14","10,562.97",,"13,230.95","14,326.60","14,829.84"
Hour_3828 in MW,"3,427.87","4,593.68","6,747.15","8,563.90","10,440.77",,"13,085.45","14,179.63","14,677.71"
Hour_3829 in MW,"3,374.31","4,471.21","6,636.69","8,425.21","10,271.68",,"12,880.54","13,969.27","14,459.96"
Hour_3830 in MW,"3,331.03","4,377.52","6,546.11","8,312.13","10,133.82",,"12,714.97","13,800.61","14,285.37"
Hour_3831 in MW,"3,317.04","4,346.20","6,512.59","8,271.85","10,084.72",,"12,661.45","13,751.01","14,234.03"
Hour_3832 in MW,"3,338.95","4,389.31","6,549.06","8,320.77","10,144.36",,"12,745.26","13,847.34","14,333.73"
Hour_3833 in MW,"3,438.32","4,561.08","6,727.52","8,548.39","10,421.86",,"13,102.68","14,234.45","14,734.44"
Hour_3834 in MW,"3,650.36","4,902.31","7,106.49","9,026.88","11,005.22",,"13,843.11","15,028.55","15,556.44"
Hour_3835 in MW,"3,857.07","5,241.94","7,472.42","9,488.68","11,568.23",,"14,557.28","15,794.07","16,348.85"
Hour_3836 in MW,"3,932.37","5,397.43","7,597.80","9,648.84","11,763.48",,"14,809.45","16,067.31","16,631.69"
Hour_3837 in MW,"3,813.01","5,273.98","7,367.87","9,363.49","11,415.60",,"14,379.50","15,613.98","16,162.44"
Hour_3838 in MW,"3,532.79","4,913.08","6,842.11","8,706.78","10,614.96",,"13,380.51","14,554.31","15,065.54"
Hour_3839 in MW,"3,202.75","4,466.41","6,219.52","7,927.58","9,664.99",,"12,192.84","13,292.89","13,759.81"
Hour_3840 in MW,"2,949.82","4,111.84","5,729.78","7,313.61","8,916.47",,"11,256.59","12,297.98","12,729.96"
Hour_3841 in MW,"2,782.30","3,868.39","5,394.13","6,892.81","8,403.45",,"10,615.71","11,616.46","12,024.50"
Hour_3842 in MW,"2,665.73","3,697.33","5,158.03","6,598.51","8,044.65",,"10,169.75","11,141.57","11,532.93"
Hour_3843 in MW,"2,624.16","3,637.70","5,068.56","6,490.42","7,912.87",,"10,010.72","10,971.29","11,356.66"
Hour_3844 in MW,"2,666.15","3,703.63","4,960.96","6,589.75","8,033.96",,"10,171.35","11,140.40","11,531.71"
Hour_3845 in MW,"2,782.63","4,011.27","5,186.60","6,874.00","8,380.51",,"10,616.97","11,611.97","12,019.85"
Hour_3846 in MW,"2,949.25","4,256.75","5,509.20","7,282.68","8,878.76",,"11,254.36","12,286.69","12,718.27"
Hour_3847 in MW,"3,132.40","4,526.19","5,856.31","7,732.40","9,427.03",,"11,955.04","13,027.69","13,485.29"
Hour_3848 in MW,"3,297.56","4,769.31","6,153.96","8,137.39","9,920.78",,"12,586.86","13,694.21","14,175.23"
Hour_3849 in MW,"3,417.51","4,946.51","6,345.11","8,430.11","10,277.66",,"13,045.73","14,175.39","14,673.31"
Hour_3850 in MW,"3,478.54","5,037.82","6,403.26","8,576.51","10,456.14",,"13,279.20","14,415.36","14,921.71"
Hour_3851 in MW,"3,482.87","5,046.47","6,337.82","8,582.11","10,462.98",,"13,295.78","14,423.18","14,929.81"
Hour_3852 in MW,"3,446.85","4,996.20","6,189.76","8,487.46","10,347.58",,"13,157.97","14,265.43","14,766.52"
Hour_3853 in MW,"3,395.37","4,923.26","6,019.00","8,354.37","10,185.32",,"12,961.04","14,043.59","14,536.88"
Hour_3854 in MW,"3,354.24","4,865.16","5,886.88","8,246.88","10,054.27",,"12,803.68","13,862.77","14,349.71"
Hour_3855 in MW,"3,342.44","4,849.54","5,838.58","8,212.14","10,011.92",,"12,758.55","13,800.40","14,285.15"
Hour_3856 in MW,"3,366.58","4,885.99","5,890.34","8,266.51","10,078.20",,"12,850.89","13,883.38","14,371.04"
Hour_3857 in MW,"3,473.46","5,037.58","6,121.25","8,511.12","10,376.43",,"13,234.74","14,275.56","14,777.00"
Hour_3858 in MW,"3,690.86","5,340.34","6,569.55","9,001.79","10,974.62",,"13,994.50","15,066.70","15,595.93"
Hour_3859 in MW,"3,899.05","5,628.64","7,008.09","9,467.04","11,541.84",,"14,714.95","15,815.01","16,370.52"
Hour_3860 in MW,"3,973.52","5,730.52","7,200.79","9,625.32","11,734.82",,"14,965.49","16,062.36","16,626.56"
Hour_3861 in MW,"3,853.38","5,561.51","7,027.40","9,337.92","11,384.42",,"14,533.83","15,582.90","16,130.27"
Hour_3862 in MW,"3,573.81","5,169.42","6,543.94","8,682.02","10,584.78",,"13,537.72","14,501.97","15,011.36"
Hour_3863 in MW,"3,245.63","4,706.67","5,947.89","7,906.21","9,638.93",,"12,357.01","13,223.77","13,688.27"
Hour_3864 in MW,"2,994.80","4,347.47","5,470.34","7,296.08","8,895.09",,"11,428.60","12,213.26","12,642.26"
Hour_3865 in MW,"2,829.16","4,105.77","5,137.83","6,878.62","8,386.14",,"10,794.93","11,515.83","11,920.33"
Hour_3866 in MW,"2,714.36","3,937.85","4,902.82","6,587.31","8,030.98",,"10,355.75","11,025.09","11,412.35"
Hour_3867 in MW,"2,674.44","3,878.70","4,817.82","6,481.84","7,902.41",,"10,203.03","10,839.07","11,219.80"
Hour_3868 in MW,"2,717.94","3,940.75","4,901.84","6,353.09","7,745.44",,"10,369.43","10,992.63","11,378.76"
Hour_3869 in MW,"2,835.78","4,110.82","5,135.60","6,646.92","8,103.66",,"10,820.24","11,448.91","11,851.06"
Hour_3870 in MW,"3,003.59","4,353.46","5,466.48","7,063.43","8,611.45",,"11,462.20","12,108.67","12,534.00"
Hour_3871 in MW,"3,187.76","4,619.77","5,822.01","7,510.63","9,156.67",,"12,166.78","12,835.11","13,285.95"
Hour_3872 in MW,"3,353.75","4,859.51","6,128.17","7,894.62","9,624.82",,"12,801.78","13,487.53","13,961.29"
Hour_3873 in MW,"3,474.34","5,033.08","6,327.89","8,142.96","9,927.58",,"13,263.09","13,955.14","14,445.33"
Hour_3874 in MW,"3,535.80","5,120.54","6,394.65","8,222.00","10,023.94",,"13,498.22","14,182.14","14,680.30"
Hour_3875 in MW,"3,540.36","5,125.13","6,337.79","8,143.64","9,928.40",,"13,515.66","14,177.65","14,675.65"
Hour_3876 in MW,"3,504.34","5,070.64","6,198.28","7,959.85","9,704.34",,"13,377.87","14,008.30","14,500.35"
Hour_3877 in MW,"3,452.65","4,993.31","6,035.98","7,746.66","9,444.42",,"13,180.11","13,775.62","14,259.50"
Hour_3878 in MW,"3,411.07","4,930.70","5,912.21","7,581.89","9,243.54",,"13,021.04","13,584.79","14,061.97"
Hour_3879 in MW,"3,398.60","4,910.46","5,872.12","7,522.87","9,171.59",,"12,973.32","13,513.28","13,987.94"
Hour_3880 in MW,"3,421.82","4,942.21","5,931.89","7,590.19","9,253.66",,"13,062.18","13,588.03","14,065.32"
Hour_3881 in MW,"3,535.10","5,099.34","6,184.01","7,898.90","9,630.03",,"13,467.17","14,000.10","14,491.86"
Hour_3882 in MW,"3,755.08","5,402.77","6,647.03","8,471.22","10,327.78",,"14,235.36","14,799.55","15,319.39"
Hour_3883 in MW,"3,960.42","5,684.66","7,090.84","9,018.71","10,995.26",,"14,945.86","15,538.57","16,084.37"
Hour_3884 in MW,"4,028.85","5,776.03","7,283.16","9,250.29","11,277.58",,"15,175.36","15,766.83","16,320.65"
Hour_3885 in MW,"3,902.64","5,596.78","7,109.31","9,021.97","10,999.23",,"14,722.17","15,269.76","15,806.13"
Hour_3886 in MW,"3,618.80","5,197.21","6,628.51","8,407.54","10,250.14",,"13,710.27","14,179.29","14,677.35"
Hour_3887 in MW,"3,287.87","4,729.41","6,037.81","7,653.53","9,330.89",,"12,518.78","12,898.86","13,351.95"
Hour_3888 in MW,"3,034.48","4,365.87","5,566.01","7,046.74","8,591.11",,"11,580.36","11,888.89","12,306.50"
Hour_3889 in MW,"2,865.93","4,119.76","5,238.63","6,620.61","8,071.59",,"10,935.56","11,192.73","11,585.89"
Hour_3890 in MW,"2,748.03","3,947.56","5,008.32","6,317.66","7,702.24",,"10,484.51","10,704.36","11,080.36"
Hour_3891 in MW,"2,704.83","3,884.30","4,927.57","6,204.53","7,564.32",,"10,319.25","10,521.80","10,891.39"
Hour_3892 in MW,"2,744.88","3,942.41","5,015.38","6,305.40","7,687.29",,"10,472.47","10,301.87","10,663.74"
Hour_3893 in MW,"2,859.13","4,108.74","5,427.90","6,595.81","8,041.36",,"10,909.51","10,776.41","11,154.94"
Hour_3894 in MW,"3,023.19","4,347.83","5,756.63","7,009.05","8,545.15",,"11,537.16","11,453.23","11,855.53"
Hour_3895 in MW,"3,203.50","4,610.82","6,117.38","7,453.14","9,086.57",,"12,226.95","12,181.41","12,609.29"
Hour_3896 in MW,"3,365.51","4,847.47","6,442.54","7,834.22","9,551.17",,"12,846.73","12,806.85","13,256.70"
Hour_3897 in MW,"3,482.03","5,018.19","6,678.89","8,079.88","9,850.67",,"13,292.46","13,210.68","13,674.72"
Hour_3898 in MW,"3,539.34","5,103.04","6,799.61","8,156.50","9,944.08",,"13,511.71","13,337.70","13,806.20"
Hour_3899 in MW,"3,539.68","5,105.29","6,809.03","8,076.00","9,845.94",,"13,513.02","13,207.45","13,671.37"
Hour_3900 in MW,"3,499.40","5,048.71","6,739.10","7,890.41","9,619.68",,"13,358.93","12,905.25","13,358.56"
Hour_3901 in MW,"3,443.42","4,969.57","6,638.54","7,675.76","9,357.98",,"13,144.76","12,555.88","12,996.92"
Hour_3902 in MW,"3,397.54","4,905.40","6,557.82","7,509.90","9,155.77",,"12,969.25","12,287.06","12,718.65"
Hour_3903 in MW,"3,380.78","4,883.87","6,534.07","7,450.19","9,082.98",,"12,905.12","12,192.88","12,621.17"
Hour_3904 in MW,"3,399.74","4,914.59","6,580.22","7,517.22","9,164.70",,"12,977.65","12,307.11","12,739.40"
Hour_3905 in MW,"3,498.72","5,057.20","6,773.09","7,803.76","9,514.03",,"13,332.41","12,779.85","13,228.75"
Hour_3906 in MW,"3,709.13","5,352.65","7,164.42","8,364.43","10,197.58",,"14,065.96","13,698.71","14,179.89"
Hour_3907 in MW,"3,912.00","5,636.38","7,538.95","8,916.25","10,870.33",,"14,765.78","14,602.83","15,115.76"
Hour_3908 in MW,"3,982.09","5,735.41","7,670.56","9,161.68","11,169.56",,"14,998.85","15,007.82","15,534.98"
Hour_3909 in MW,"3,857.42","5,563.78","7,446.66","8,947.41","10,908.33",,"14,549.23","14,663.79","15,178.87"
Hour_3910 in MW,"3,572.52","5,168.42","6,928.03","8,341.69","10,169.87",,"13,532.54","13,681.32","14,161.89"
Hour_3911 in MW,"3,238.33","4,701.84","6,313.51","7,591.71","9,255.51",,"12,328.93","12,462.20","12,899.95"
Hour_3912 in MW,"2,981.30","4,338.91","5,831.89","6,988.04","8,519.54",,"11,376.87","11,479.41","11,882.63"
Hour_3913 in MW,"2,809.49","4,093.84","5,503.98","6,565.86","8,004.83",,"10,719.58","10,791.67","11,170.73"
Hour_3914 in MW,"2,688.51","3,922.86","5,275.32","6,267.32","7,640.86",,"10,256.78","10,306.69","10,668.72"
Hour_3915 in MW,"2,642.44","3,860.96","5,192.95","6,159.07","7,508.90",,"10,080.53","10,133.82","10,489.78"
Hour_3916 in MW,"2,679.83","3,920.57","5,273.62","6,265.27","7,638.37",,"10,223.57","10,312.64","10,674.88"
Hour_3917 in MW,"2,791.63","4,088.51","5,499.61","6,784.09","8,270.90",,"10,651.29","10,802.96","11,182.42"
Hour_3918 in MW,"2,953.50","4,329.31","5,823.27","7,197.17","8,774.51",,"11,270.52","11,495.16","11,898.94"
Hour_3919 in MW,"3,131.85","4,594.09","6,178.91","7,651.46","9,328.35",,"11,952.81","12,238.26","12,668.14"
Hour_3920 in MW,"3,292.15","4,832.58","6,498.97","8,061.20","9,827.90",,"12,566.05","12,878.10","13,330.46"
Hour_3921 in MW,"3,407.21","5,005.19","6,730.27","8,358.87","10,190.81",,"13,006.22","13,295.76","13,762.79"
Hour_3922 in MW,"3,463.32","5,091.95","6,845.98","8,510.42","10,375.57",,"13,220.90","13,435.98","13,907.93"
Hour_3923 in MW,"3,462.74","5,096.11","6,850.50","8,521.38","10,388.94",,"13,218.66","13,318.26","13,786.07"
Hour_3924 in MW,"3,421.80","5,041.42","6,775.80","8,432.30","10,280.33",,"13,062.05","13,027.88","13,485.49"
Hour_3925 in MW,"3,365.43","4,964.11","6,670.60","8,305.01","10,125.14",,"12,846.38","12,689.56","13,135.29"
Hour_3926 in MW,"3,319.43","4,901.73","6,585.40","8,203.54","10,001.43",,"12,670.40","12,431.00","12,867.65"
Hour_3927 in MW,"3,302.81","4,881.91","6,557.38","8,175.04","9,966.68",,"12,606.83","12,346.27","12,779.94"
Hour_3928 in MW,"3,322.18","4,914.24","6,599.47","8,235.88","10,040.86",,"12,680.94","12,469.09","12,907.08"
Hour_3929 in MW,"3,423.25","5,060.27","6,791.01","8,484.73","10,344.24",,"13,043.05","12,954.64","13,409.69"
Hour_3930 in MW,"3,635.41","5,358.21","7,180.25","8,980.89","10,949.15",,"13,783.00","13,883.35","14,371.02"
Hour_3931 in MW,"3,839.25","5,642.88","7,551.12","9,453.65","11,525.52",,"14,486.70","14,792.75","15,312.35"
Hour_3932 in MW,"3,909.96","5,741.86","7,678.27","9,620.71","11,729.19",,"14,722.52","15,199.90","15,733.81"
Hour_3933 in MW,"3,786.16","5,570.03","7,450.23","9,342.28","11,389.74",,"14,276.58","14,857.17","15,379.04"
Hour_3934 in MW,"3,502.75","5,174.80","6,928.43","8,694.92","10,600.50",,"13,265.70","13,876.45","14,363.87"
Hour_3935 in MW,"3,170.61","4,708.62","6,311.66","7,927.25","9,664.59",,"12,069.88","12,659.41","13,104.08"
Hour_3936 in MW,"2,915.91","4,346.00","5,828.27","7,325.31","8,930.72",,"11,126.71","11,678.16","12,088.36"
Hour_3937 in MW,"2,746.60","4,100.99","5,498.87","6,916.25","8,432.02",,"10,478.99","10,991.02","11,377.09"
Hour_3938 in MW,"2,628.30","3,929.84","5,269.03","6,633.51","8,087.32",,"10,026.42","10,505.81","10,874.83"
Hour_3939 in MW,"2,585.07","3,867.54","5,185.81","6,536.79","7,969.39",,"9,861.04","10,331.89","10,694.81"
Hour_3940 in MW,"2,532.67","3,926.51","5,265.94","6,647.25","8,104.06",,"9,660.57","10,508.88","10,878.01"
Hour_3941 in MW,"2,650.70","4,093.58","5,491.71","6,942.38","8,463.87",,"10,112.12","11,362.01","11,761.11"
Hour_3942 in MW,"2,818.37","4,333.27","5,815.44","7,361.66","8,975.04",,"10,753.55","12,040.51","12,463.45"
Hour_3943 in MW,"2,998.61","4,596.71","6,171.45","7,821.67","9,535.87",,"11,443.10","12,785.57","13,234.67"
Hour_3944 in MW,"3,153.61","4,833.61","6,492.17","8,236.63","10,041.78",,"12,036.04","13,456.44","13,929.10"
Hour_3945 in MW,"3,254.17","5,004.41","6,724.39","8,538.99","10,410.40",,"12,420.74","13,942.29","14,432.02"
Hour_3946 in MW,"3,286.74","5,089.13","6,841.28","8,694.66","10,600.19",,"12,545.34","14,187.26","14,685.60"
Hour_3947 in MW,"3,256.10","5,091.03","6,847.21","8,709.16","10,617.87",,"12,428.14","14,200.46","14,699.26"
Hour_3948 in MW,"3,183.20","5,033.88","6,774.14","8,623.02","10,512.84",,"12,149.25","14,048.45","14,541.91"
Hour_3949 in MW,"3,098.64","4,953.91","6,670.77","8,498.03","10,360.47",,"11,825.78","13,832.74","14,318.63"
Hour_3950 in MW,"3,033.78","4,888.68","6,587.59","8,398.23","10,238.79",,"11,577.63","13,658.47","14,138.24"
Hour_3951 in MW,"3,011.69","4,865.83","6,561.73","8,370.76","10,205.29",,"11,493.13","13,603.08","14,080.90"
Hour_3952 in MW,"3,040.66","4,894.98","6,606.11","8,431.96","10,279.92",,"11,603.95","13,693.48","14,174.48"
Hour_3953 in MW,"3,175.12","5,051.19","6,817.59","8,702.41","10,609.64",,"12,089.46","14,125.11","14,621.27"
Hour_3954 in MW,"3,426.21","5,352.86","7,218.68","9,209.36","11,227.68",,"12,976.44","14,941.39","15,466.22"
Hour_3955 in MW,"3,667.03","5,631.86","7,589.43","9,677.20","11,798.06",,"13,822.81","15,693.80","16,245.06"
Hour_3956 in MW,"3,769.88","5,719.74","7,709.50","9,829.94","11,984.28",,"14,184.34","15,933.25","16,492.91"
Hour_3957 in MW,"3,672.61","5,537.01","7,474.68","9,536.88","11,626.99",,"13,842.12","15,446.87","15,989.45"
Hour_3958 in MW,"3,409.47","5,134.39","6,950.63","8,879.89","10,826.02",,"12,909.49","14,367.60","14,872.28"
Hour_3959 in MW,"3,090.31","4,663.88","6,335.59","8,106.98","9,883.71",,"11,762.99","13,098.74","13,558.85"
Hour_3960 in MW,"2,841.14","4,297.70","5,854.87","7,500.49","9,144.31",,"10,840.69","12,099.99","12,525.01"
Hour_3961 in MW,"2,672.28","4,048.91","5,527.77","7,085.97","8,638.93",,"10,194.69","11,414.37","11,815.31"
Hour_3962 in MW,"2,553.07","3,874.01","5,300.10","6,797.19","8,286.86",,"9,738.62","10,935.92","11,320.05"
Hour_3963 in MW,"2,510.34","3,808.03","5,218.90","6,693.86","8,160.89",,"9,575.16","10,762.67","11,140.72"
Hour_3964 in MW,"2,553.81","3,728.40","5,300.86","6,797.19","8,286.86",,"9,741.47","10,929.48","11,313.38"
Hour_3965 in MW,"2,673.63","3,896.49","5,528.25","7,084.69","8,637.37",,"10,199.83","11,399.46","11,799.87"
Hour_3966 in MW,"2,842.88","4,136.54","5,853.38","7,495.87","9,138.67",,"10,847.33","12,073.36","12,497.45"
Hour_3967 in MW,"3,024.52","4,394.65","6,210.55","7,947.35","9,689.09",,"11,542.21","12,814.36","13,264.47"
Hour_3968 in MW,"3,180.71","4,615.80","6,532.15","8,353.38","10,184.11",,"12,139.74","13,481.74","13,955.30"
Hour_3969 in MW,"3,282.28","4,757.54","6,764.97","8,646.45","10,541.41",,"12,528.28","13,964.69","14,455.21"
Hour_3970 in MW,"3,315.65","4,800.19","6,882.17","8,792.51","10,719.48",,"12,655.97","14,207.38","14,706.42"
Hour_3971 in MW,"3,285.63","4,750.72","6,888.09","8,797.12","10,725.10",,"12,541.13","14,218.90","14,718.35"
Hour_3972 in MW,"3,213.16","4,639.64","6,814.67","8,700.84","10,607.72",,"12,263.87","14,065.84","14,559.91"
Hour_3973 in MW,"3,128.84","4,511.52","6,710.63","8,565.52","10,442.75",,"11,941.32","13,849.71","14,336.19"
Hour_3974 in MW,"3,064.04","4,411.98","6,626.42","8,455.24","10,308.30",,"11,693.40","13,675.66","14,156.03"
Hour_3975 in MW,"3,041.84","4,374.67","6,599.18","8,417.18","10,261.89",,"11,608.47","13,621.10","14,099.55"
Hour_3976 in MW,"3,070.52","4,411.65","6,641.83","8,467.73","10,323.53",,"11,718.22","13,712.94","14,194.62"
Hour_3977 in MW,"3,195.97","4,584.63","6,836.00","8,708.50","10,617.06",,"12,173.02","14,115.73","14,611.56"
Hour_3978 in MW,"3,442.02","4,923.96","7,226.60","9,194.72","11,209.84",,"13,042.34","14,918.23","15,442.25"
Hour_3979 in MW,"3,683.53","5,256.17","7,596.88","9,654.86","11,770.83",,"13,890.29","15,678.45","16,229.17"
Hour_3980 in MW,"3,790.28","5,400.96","7,722.13","9,807.53","11,956.96",,"14,264.37","15,938.44","16,498.29"
Hour_3981 in MW,"3,696.56","5,266.88","7,491.87","9,514.23","11,599.37",,"13,933.80","15,472.62","16,016.11"
Hour_3982 in MW,"3,434.57","4,897.42","6,968.11","8,852.31","10,792.39",,"13,004.97","14,406.46","14,912.50"
Hour_3983 in MW,"3,114.51","4,444.05","6,349.56","8,070.38","9,839.08",,"11,855.33","13,144.12","13,605.82"
Hour_3984 in MW,"2,863.91","4,083.33","5,864.14","7,454.01","9,087.64",,"10,927.82","12,150.39","12,577.19"
Hour_3985 in MW,"2,693.73","3,833.69","5,532.28","7,030.20","8,570.95",,"10,276.76","11,470.58","11,873.49"
Hour_3986 in MW,"2,573.14","3,656.56","5,299.58","6,732.49","8,207.98",,"9,815.44","10,998.22","11,384.54"
Hour_3987 in MW,"2,529.00","3,591.00","5,213.08","6,620.60","8,071.58",,"9,646.57","10,831.31","11,211.76"
Hour_3988 in MW,"2,571.03","3,651.18","5,289.52","6,715.79","8,187.63",,"9,807.38","11,004.64","11,391.18"
Hour_3989 in MW,"2,779.08","3,822.77","5,511.16","6,995.60","8,528.76",,"10,603.28","11,481.27","11,884.56"
Hour_3990 in MW,"2,944.33","4,066.63","5,830.37","7,399.55","9,021.24",,"11,235.46","12,161.91","12,589.11"
Hour_3991 in MW,"3,125.99","4,328.86","6,181.44","7,844.30","9,563.46",,"11,930.41","12,909.67","13,363.14"
Hour_3992 in MW,"3,289.52","4,554.43","6,496.82","8,244.11","10,050.90",,"12,556.02","13,583.78","14,060.92"
Hour_3993 in MW,"3,407.73","4,700.87","6,723.31","8,531.49","10,401.26",,"13,008.24","14,073.37","14,567.71"
Hour_3994 in MW,"3,466.91","4,748.47","6,834.09","8,672.42","10,573.07",,"13,234.64","14,322.53","14,825.62"
Hour_3995 in MW,"3,469.30","4,704.21","6,833.56","8,672.45","10,573.11",,"13,243.78","14,340.33","14,844.04"
Hour_3996 in MW,"3,431.24","4,598.55","6,753.67","8,572.17","10,450.85",,"13,098.21","14,193.28","14,691.83"
Hour_3997 in MW,"3,377.66","4,476.06","6,643.18","8,433.43","10,281.70",,"12,893.23","13,982.84","14,474.00"
Hour_3998 in MW,"3,334.36","4,382.33","6,552.56","8,320.30","10,143.79",,"12,727.58","13,814.09","14,299.33"
Hour_3999 in MW,"3,320.35","4,350.98","6,519.00","8,279.98","10,094.62",,"12,673.99","13,764.42","14,247.90"
Hour_4000 in MW,"3,342.24","4,394.06","6,555.43","8,328.85","10,154.20",,"12,757.72","13,860.66","14,347.53"
Hour_4001 in MW,"3,444.40","4,569.66","6,738.85","8,562.66","10,439.26",,"13,124.60","14,257.82","14,758.64"
Hour_4002 in MW,"3,658.12","4,913.20","7,120.84","9,044.93","11,027.22",,"13,870.80","15,058.07","15,586.99"
Hour_4003 in MW,"3,864.41","5,252.28","7,486.08","9,505.88","11,589.20",,"14,583.69","15,822.23","16,378.00"
Hour_4004 in MW,"3,938.04","5,405.51","7,608.54","9,662.41","11,780.02",,"14,830.32","16,089.58","16,654.74"
Hour_4005 in MW,"3,817.05","5,279.83","7,375.71","9,373.44","11,427.73",,"14,394.84","15,630.36","16,179.39"
Hour_4006 in MW,"3,536.01","4,917.77","6,848.43","8,714.81","10,624.75",,"13,392.91","14,567.55","15,079.24"
Hour_4007 in MW,"3,205.83","4,470.89","6,225.55","7,935.23","9,674.32",,"12,204.65","13,305.51","13,772.87"
Hour_4008 in MW,"2,952.95","4,116.37","5,735.85","7,321.31","8,925.85",,"11,268.46","12,310.66","12,743.09"
Hour_4009 in MW,"2,785.41","3,872.89","5,400.16","6,900.46","8,412.77",,"10,627.51","11,629.06","12,037.54"
